DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD	DATE_TIME
2023.09.11	18:04:00	1.07455	1.07469	1.07452	1.07455	119	0	16	2023.09.11 18:04:00
2023.09.11	18:05:00	1.07456	1.07469	1.07446	1.07467	98	0	16	2023.09.11 18:05:00
2023.09.11	18:06:00	1.07467	1.07478	1.07459	1.0746	111	0	16	2023.09.11 18:06:00
2023.09.11	18:07:00	1.07459	1.0746	1.07451	1.0746	60	0	16	2023.09.11 18:07:00
2023.09.11	18:08:00	1.0746	1.07468	1.07454	1.07462	65	0	16	2023.09.11 18:08:00
2023.09.11	18:09:00	1.07462	1.07469	1.0746	1.0746	79	0	16	2023.09.11 18:09:00
2023.09.11	18:10:00	1.07461	1.07461	1.07445	1.07445	89	0	16	2023.09.11 18:10:00
2023.09.11	18:11:00	1.07445	1.07458	1.07444	1.0745	109	0	16	2023.09.11 18:11:00
2023.09.11	18:12:00	1.0745	1.07451	1.07433	1.07449	105	0	16	2023.09.11 18:12:00
2023.09.11	18:13:00	1.0745	1.07455	1.07442	1.07444	82	0	16	2023.09.11 18:13:00
2023.09.11	18:14:00	1.07443	1.07449	1.07436	1.07445	65	0	16	2023.09.11 18:14:00
2023.09.11	18:15:00	1.07445	1.07445	1.07433	1.07437	85	0	16	2023.09.11 18:15:00
2023.09.11	18:16:00	1.07437	1.07439	1.07426	1.0743	112	0	16	2023.09.11 18:16:00
2023.09.11	18:17:00	1.0743	1.07449	1.07429	1.07447	105	0	16	2023.09.11 18:17:00
2023.09.11	18:18:00	1.07447	1.0746	1.07444	1.07453	95	0	16	2023.09.11 18:18:00
2023.09.11	18:19:00	1.07454	1.07469	1.07453	1.07469	88	0	16	2023.09.11 18:19:00
2023.09.11	18:20:00	1.07469	1.07491	1.07463	1.07488	88	0	16	2023.09.11 18:20:00
2023.09.11	18:21:00	1.07488	1.07489	1.0748	1.07484	80	0	16	2023.09.11 18:21:00
2023.09.11	18:22:00	1.07484	1.07485	1.07453	1.07456	100	0	16	2023.09.11 18:22:00
2023.09.11	18:23:00	1.07456	1.07469	1.07453	1.07453	120	0	16	2023.09.11 18:23:00
2023.09.11	18:24:00	1.07453	1.07465	1.07453	1.07459	59	0	16	2023.09.11 18:24:00
